"index","Código","Descripción","KG","tipo","arriba","abajo"
"2","100106","OPADULTO MEDIUM LARGE X15KG","15,0","perro","0","0"
"16","100134","OP CAT URINARY X 1KG","1,0","gato","0","0"
"17","100136","OP CATURINARY X7,5KG","7,5","gato","0","0"
"15","100130","OP CAT ADULTO COMPLETE X1KG","1,0","gato","0","1"
"19",NULL,"OP CAT ADULT INDOOR","1","gato","1","5"
"14","100128","OP CAT KITTEN X 1KG","1,0","gato","0","2"
"13","100126","OP PUPPY SMALL BREEDS X7,5KG","7,5","perro","0","3"
"11","100122","OPPUPPY MEDIUM LARGE X 15KG","15,0","perro","0","2"
"4","100110","OP ADULTO SMALL BREEDS X7,5KG","7,5","perro","0","4"
"1","100104","OPADULTO MEDIUM LARGE X 7,5KG","7,5","perro","0","3"
"8","100116","OP  DERMA DEFENSE  X 15 KG","15,0","perro","0","3"
"7","100114","OP  DERMA DEFENSE  X 7,5KG","7,5","perro","0","4"
"10","100120","OP PUPPY MEDIUM LARGE X7,5KG","7,5","perro","0","5"
"5","100111","OP WEIGHT CONTROL X 15 KG","15,0","perro","0","1"
"0","100102","OP ADULTO MEDIUM LARGE X2KG","2,0","perro","0","7"
"9","100118","OP PUPPY MEDIUM LARGE X 2KG","2,0","perro","0","1"
"12","100124","OP PUPPY SMALL BREEDS X2KG","2,0","perro","0","2"
"6","100113","OP DERMA DEFENSE X 2KG","2,0","perro","0","2"
"3","100108","OP ADULTO SMALL BREEDS  X2KG","2,0","perro","0","2"
